Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-07-27,4.24907,4.26764,4.24691,4.25024
2017-07-28,4.25022,4.263,4.24597,4.2543
2017-07-31,4.25633,4.26099,4.24478,4.25472
2017-08-01,4.2538,4.26298,4.24834,4.25259
2017-08-02,4.25262,4.26165,4.24905,4.25793
2017-08-03,4.2578,4.26069,4.23937,4.24283
2017-08-04,4.24232,4.24625,4.23568,4.24495
2017-08-07,4.23966,4.2542,4.23925,4.25211
2017-08-08,4.25206,4.26623,4.25186,4.26438
2017-08-09,4.26435,4.2724,4.25752,4.26705
2017-08-10,4.26705,4.28421,4.2666,4.27945
2017-08-11,4.2795,4.29772,4.2755,4.28678
2017-08-14,4.29078,4.29318,4.27797,4.28556
2017-08-15,4.28562,4.29591,4.27051,4.29015
2017-08-16,4.29003,4.29267,4.25946,4.26838
2017-08-17,4.26819,4.27462,4.25311,4.269
2017-08-18,4.26887,4.28566,4.26237,4.27113
2017-08-21,4.27587,4.28145,4.26813,4.27848
2017-08-22,4.27856,4.28184,4.26951,4.27314
2017-08-23,4.27315,4.28839,4.27163,4.28587
2017-08-24,4.28586,4.2884,4.25782,4.2612
2017-08-25,4.26125,4.26316,4.24692,4.26025
2017-08-28,4.24838,4.2665,4.24333,4.25276
2017-08-29,4.25269,4.2716,4.24749,4.25466
2017-08-30,4.25461,4.26451,4.25262,4.25496
2017-08-31,4.25482,4.26401,4.24396,4.24787
2017-09-01,4.248,4.25811,4.23024,4.25417
2017-09-04,4.25603,4.26462,4.23685,4.24084
2017-09-05,4.24082,4.24414,4.23029,4.23335
2017-09-06,4.23341,4.25431,4.23169,4.24559
2017-09-07,4.24509,4.25938,4.23944,4.25102
2017-09-08,4.25076,4.25776,4.24361,4.24408
2017-09-11,4.24518,4.2539,4.23952,4.24545
2017-09-12,4.24525,4.26836,4.24432,4.25736
2017-09-13,4.25736,4.28596,4.25574,4.28265
2017-09-14,4.28153,4.2904,4.27284,4.27828
2017-09-15,4.27817,4.28349,4.26593,4.27943
2017-09-18,4.27733,4.29561,4.27472,4.29191
2017-09-19,4.29185,4.29592,4.27437,4.28131
2017-09-20,4.2814,4.2878,4.26979,4.27867
2017-09-21,4.27862,4.2893,4.26696,4.27385
2017-09-22,4.27392,4.27955,4.26084,4.26781
2017-09-25,4.27022,4.28386,4.26441,4.27635
2017-09-26,4.27647,4.29562,4.27132,4.29058
2017-09-27,4.29063,4.32585,4.28363,4.32447
2017-09-28,4.32463,4.33261,4.30542,4.3156
2017-09-29,4.3155,4.31904,4.29288,4.3131
2017-10-02,4.31042,4.32169,4.30002,4.3101
2017-10-03,4.31015,4.3194,4.30056,4.3152
2017-10-04,4.31511,4.32527,4.29351,4.29749
2017-10-05,4.29758,4.30722,4.29336,4.30321
2017-10-06,4.30336,4.31778,4.29821,4.31119
2017-10-09,4.31268,4.31756,4.29654,4.29851
2017-10-10,4.29851,4.30593,4.2858,4.2943
2017-10-11,4.29477,4.29746,4.26547,4.26991
2017-10-12,4.26986,4.28157,4.26655,4.26753
2017-10-13,4.26761,4.2703,4.24474,4.24888
2017-10-16,4.25121,4.25346,4.22715,4.2336
2017-10-17,4.23368,4.23932,4.22105,4.2367
2017-10-18,4.23677,4.23782,4.22498,4.23487
2017-10-19,4.2349,4.24382,4.2302,4.23525
2017-10-20,4.23524,4.2479,4.22744,4.23571
2017-10-23,4.23287,4.24248,4.22069,4.2295
2017-10-24,4.22956,4.24898,4.22686,4.24524
2017-10-25,4.24529,4.24912,4.2286,4.2418
2017-10-26,4.24192,4.25528,4.23219,4.25489
2017-10-27,4.25479,4.26387,4.24233,4.24646
2017-10-30,4.24823,4.25103,4.23865,4.25046
2017-10-31,4.2504,4.25081,4.23665,4.23899
2017-11-01,4.23905,4.24147,4.2304,4.23403
2017-11-02,4.23396,4.24146,4.23007,4.23425
2017-11-03,4.23425,4.24931,4.23353,4.24491
2017-11-06,4.24487,4.24872,4.23596,4.23851
2017-11-07,4.23851,4.24831,4.2322,4.2434
2017-11-08,4.2434,4.24543,4.22976,4.23715
2017-11-09,4.23689,4.23944,4.22744,4.23025
2017-11-10,4.23041,4.23569,4.22307,4.22737
2017-11-13,4.22637,4.24033,4.22357,4.23613
2017-11-14,4.23621,4.25035,4.2277,4.24858
2017-11-15,4.24863,4.25084,4.23916,4.24306
2017-11-16,4.24316,4.24441,4.23036,4.23787
2017-11-17,4.23789,4.24507,4.23169,4.23327
2017-11-20,4.23524,4.23829,4.22674,4.22909
2017-11-21,4.22902,4.23609,4.21577,4.21921
2017-11-22,4.22005,4.22155,4.20477,4.21289
2017-11-23,4.21322,4.21766,4.20436,4.20884
2017-11-24,4.20854,4.21349,4.20423,4.20858
2017-11-27,4.21006,4.21242,4.20075,4.20921
2017-11-28,4.20937,4.21142,4.20017,4.20329
2017-11-29,4.20338,4.2044,4.18731,4.20188
2017-11-30,4.20227,4.20897,4.19437,4.2026
2017-12-01,4.20276,4.21594,4.20111,4.21399
2017-12-04,4.20957,4.21316,4.19818,4.2083
2017-12-05,4.20772,4.21138,4.19907,4.20928
2017-12-06,4.20924,4.21751,4.2077,4.21286
2017-12-07,4.21301,4.21657,4.20501,4.20981
2017-12-08,4.20823,4.21069,4.19486,4.19872
2017-12-11,4.19653,4.21168,4.19496,4.19947
2017-12-12,4.19914,4.21885,4.19768,4.20866
2017-12-13,4.20905,4.22197,4.20745,4.21759
2017-12-14,4.21746,4.22534,4.21593,4.22345
2017-12-15,4.22353,4.22402,4.20433,4.20526
2017-12-18,4.21318,4.215,4.19847,4.20723
2017-12-19,4.20596,4.20922,4.1953,4.20126
2017-12-20,4.20117,4.20902,4.19642,4.20472
2017-12-21,4.20481,4.2057,4.19277,4.19635
2017-12-22,4.19677,4.20119,4.18975,4.19111
2017-12-26,4.19588,4.20251,4.1901,4.19759
2017-12-27,4.19916,4.20058,4.18689,4.18972
2017-12-28,4.19019,4.19277,4.17465,4.17891
2017-12-29,4.17933,4.18477,4.16843,4.17669
2018-01-02,4.17655,4.179,4.1604,4.16164
2018-01-03,4.16158,4.17135,4.14694,4.14785
2018-01-04,4.14815,4.15745,4.14651,4.14723
2018-01-05,4.14822,4.15703,4.14242,4.15357
2018-01-08,4.15198,4.17484,4.15194,4.1716
2018-01-09,4.17173,4.1928,4.17015,4.19186
2018-01-10,4.19101,4.19298,4.17143,4.17518
2018-01-11,4.17523,4.18067,4.1662,4.16711
2018-01-12,4.16706,4.17271,4.16412,4.17004
2018-01-15,4.17107,4.17724,4.16455,4.17164
2018-01-16,4.17172,4.18557,4.16752,4.17069
2018-01-17,4.17164,4.17859,4.16453,4.16577
2018-01-18,4.16594,4.17053,4.16012,4.1607
2018-01-19,4.16084,4.17742,4.16036,4.17314
2018-01-22,4.17208,4.17363,4.1652,4.1669
2018-01-23,4.16701,4.17457,4.16532,4.16721
2018-01-24,4.16722,4.17054,4.14447,4.15274
2018-01-25,4.15251,4.15471,4.13639,4.14338
2018-01-26,4.14464,4.14896,4.13149,4.13735
2018-01-29,4.13581,4.15037,4.13034,4.14635
2018-01-30,4.14586,4.16538,4.14068,4.15817
2018-01-31,4.15827,4.15921,4.14661,4.15255
2018-02-01,4.15264,4.1607,4.14746,4.15361
2018-02-02,4.15357,4.17046,4.15183,4.16934
2018-02-05,4.16917,4.16975,4.14214,4.15892
2018-02-06,4.1588,4.17289,4.14937,4.15688
2018-02-07,4.15627,4.1719,4.15298,4.17041
2018-02-08,4.17045,4.1927,4.16394,4.19196
2018-02-09,4.19222,4.20334,4.18091,4.18355
2018-02-12,4.1875,4.18838,4.16624,4.16839
2018-02-13,4.16841,4.17864,4.16446,4.1665
2018-02-14,4.16624,4.182,4.15291,4.15444
2018-02-15,4.15412,4.16216,4.14728,4.15451
2018-02-16,4.15579,4.16495,4.14976,4.15838
2018-02-19,4.15912,4.15912,4.13146,4.13498
2018-02-20,4.13509,4.15185,4.1347,4.14931
2018-02-21,4.1491,4.17522,4.14656,4.17176
2018-02-22,4.1724,4.18845,4.17168,4.18032
2018-02-23,4.18055,4.18356,4.16814,4.17374
2018-02-26,4.17211,4.17724,4.16573,4.16847
2018-02-27,4.16879,4.17741,4.1647,4.17299
2018-02-28,4.1728,4.18269,4.17101,4.17609
2018-03-01,4.17605,4.19368,4.17482,4.18837
2018-03-02,4.1883,4.19973,4.18722,4.19116
2018-03-05,4.19227,4.19958,4.18676,4.18883
2018-03-06,4.18878,4.19402,4.17887,4.18682
2018-03-07,4.18664,4.21439,4.18571,4.20738
2018-03-08,4.20738,4.21614,4.20127,4.204
2018-03-09,4.20396,4.20642,4.1899,4.19253
2018-03-12,4.1925,4.20726,4.18794,4.204
2018-03-13,4.20393,4.21595,4.20325,4.21145
2018-03-14,4.21145,4.21577,4.19747,4.20039
2018-03-15,4.20028,4.21855,4.19874,4.21268
2018-03-16,4.2128,4.21925,4.21201,4.21761
2018-03-19,4.21613,4.22485,4.21287,4.22376
2018-03-20,4.22376,4.23279,4.22077,4.23005
2018-03-21,4.23006,4.24357,4.22624,4.22842
2018-03-22,4.22841,4.23221,4.21672,4.22192
2018-03-23,4.22201,4.23464,4.21681,4.22815
2018-03-26,4.2294,4.2335,4.21671,4.22201
2018-03-27,4.2217,4.22328,4.20834,4.21293
2018-03-28,4.2128,4.21517,4.20054,4.20438
2018-03-29,4.20459,4.21456,4.20188,4.20835
2018-03-30,4.20829,4.21735,4.2029,4.21367
2018-04-02,4.21112,4.21743,4.20614,4.20985
2018-04-03,4.20973,4.21246,4.19216,4.19422
2018-04-04,4.19432,4.21078,4.19272,4.20091
2018-04-05,4.20081,4.20786,4.19289,4.1946
2018-04-06,4.19494,4.20254,4.19255,4.19824
2018-04-09,4.19847,4.20121,4.19162,4.19363
2018-04-10,4.19373,4.20166,4.18609,4.18911
2018-04-11,4.18928,4.19686,4.18246,4.1842
2018-04-12,4.1842,4.19031,4.1769,4.17867
2018-04-13,4.17851,4.18037,4.16591,4.16784
2018-04-16,4.16769,4.16954,4.1508,4.15391
2018-04-17,4.15408,4.16437,4.15113,4.16279
2018-04-18,4.16289,4.17384,4.16129,4.16461
2018-04-19,4.16473,4.17068,4.16051,4.16618
2018-04-20,4.1665,4.17616,4.1636,4.17304
2018-04-23,4.17199,4.20584,4.17199,4.20149
2018-04-24,4.20131,4.21012,4.19751,4.20701
2018-04-25,4.20707,4.23913,4.20706,4.22705
2018-04-26,4.2274,4.24057,4.22442,4.22878
2018-04-27,4.22901,4.23444,4.20754,4.2101
2018-04-30,4.20827,4.24194,4.20643,4.23874
2018-05-01,4.23879,4.29166,4.23538,4.27611
2018-05-02,4.27605,4.28372,4.25206,4.27053
2018-05-03,4.27111,4.28002,4.25848,4.27052
2018-05-04,4.27052,4.27823,4.23705,4.2459
2018-05-07,4.24573,4.26364,4.2429,4.26118
2018-05-08,4.26118,4.28903,4.25406,4.28104
2018-05-09,4.28108,4.29717,4.2595,4.26341
2018-05-10,4.26346,4.2664,4.23523,4.24859
2018-05-11,4.24976,4.26701,4.24916,4.26461
2018-05-14,4.26331,4.27451,4.25693,4.27245
2018-05-15,4.27287,4.30213,4.27098,4.29473
2018-05-16,4.29485,4.30012,4.27062,4.27204
2018-05-17,4.27204,4.30002,4.27043,4.29631
2018-05-18,4.29625,4.30332,4.28474,4.30175
2018-05-21,4.30137,4.3148,4.2888,4.28958
2018-05-22,4.28968,4.29393,4.271,4.28375
2018-05-23,4.28354,4.31645,4.28197,4.30314
2018-05-24,4.3033,4.31763,4.28979,4.30896
2018-05-25,4.30948,4.31871,4.29607,4.31535
2018-05-28,4.31031,4.31307,4.29439,4.29939
2018-05-29,4.29939,4.3387,4.29781,4.33326
2018-05-30,4.33371,4.34023,4.3029,4.30488
2018-05-31,4.30489,4.32305,4.30206,4.31629
2018-06-01,4.31628,4.3222,4.29952,4.30372
2018-06-04,4.30476,4.30843,4.269,4.27185
2018-06-05,4.27179,4.29111,4.26688,4.27949
2018-06-06,4.2791,4.28492,4.26229,4.26717
2018-06-07,4.26718,4.28156,4.25721,4.27494
2018-06-08,4.27607,4.29526,4.27226,4.27807
2018-06-11,4.27746,4.28098,4.26315,4.26641
2018-06-12,4.26631,4.28316,4.26266,4.27958
2018-06-13,4.27973,4.2846,4.2715,4.27832
2018-06-14,4.27826,4.28761,4.26482,4.28462
2018-06-15,4.28445,4.29088,4.27497,4.2864
2018-06-18,4.28182,4.30724,4.27904,4.3041
2018-06-19,4.30422,4.3196,4.29934,4.31094
2018-06-20,4.3112,4.32074,4.30298,4.31586
2018-06-21,4.31583,4.33284,4.31481,4.32782
2018-06-22,4.32779,4.32993,4.30976,4.32378
2018-06-25,4.32181,4.34951,4.31795,4.34335
2018-06-26,4.3436,4.34851,4.33024,4.33718
2018-06-27,4.33729,4.35596,4.32762,4.35183
2018-06-28,4.35178,4.37044,4.34868,4.36409
2018-06-29,4.36389,4.37739,4.35076,4.37375
2018-07-02,4.36836,4.41437,4.36378,4.39886
2018-07-03,4.39892,4.41225,4.3874,4.39387
2018-07-04,4.39386,4.40226,4.37584,4.38141
2018-07-05,4.38136,4.38488,4.34912,4.35161
2018-07-06,4.35169,4.37018,4.34759,4.35382
2018-07-09,4.35749,4.35772,4.30966,4.31475
2018-07-10,4.31469,4.33808,4.3077,4.31524
2018-07-11,4.31528,4.34922,4.3089,4.34191
2018-07-12,4.34253,4.34366,4.31372,4.31954
2018-07-13,4.31961,4.33191,4.31282,4.31297
2018-07-16,4.31699,4.31715,4.29919,4.30146
2018-07-17,4.30142,4.3099,4.29092,4.29697
2018-07-18,4.29698,4.31376,4.29569,4.31037
2018-07-19,4.31037,4.34221,4.30732,4.33936
2018-07-20,4.33905,4.35165,4.31355,4.31894
2018-07-23,4.32749,4.33145,4.31604,4.32618
2018-07-24,4.32613,4.33585,4.29611,4.30047
2018-07-25,4.30043,4.31109,4.29364,4.30153
2018-07-26,4.30143,4.3024,4.28166,4.28772
2018-07-27,4.28767,4.29726,4.26997,4.28474
2018-07-30,4.28358,4.28844,4.26847,4.27134
2018-07-31,4.27087,4.28274,4.26811,4.27644
2018-08-01,4.27646,4.28323,4.26002,4.26337
2018-08-02,4.2635,4.28495,4.26071,4.27423
2018-08-03,4.27434,4.2818,4.25195,4.26189
2018-08-06,4.25661,4.27682,4.25348,4.25833
2018-08-07,4.25854,4.26064,4.24622,4.25729
2018-08-08,4.25729,4.26622,4.25409,4.26507
2018-08-09,4.26499,4.28082,4.26347,4.27732
2018-08-10,4.27731,4.30611,4.27066,4.29444
2018-08-13,4.30289,4.32272,4.28566,4.30107
2018-08-14,4.30097,4.30924,4.28882,4.30514
2018-08-15,4.30508,4.34379,4.29607,4.32138
2018-08-16,4.32137,4.32266,4.30087,4.30505
2018-08-17,4.30493,4.31934,4.29276,4.29656
2018-08-20,4.29908,4.31722,4.29366,4.30912
2018-08-21,4.30912,4.31137,4.28394,4.28771
2018-08-22,4.28847,4.29723,4.26877,4.26947
2018-08-23,4.26954,4.29147,4.26921,4.28995
2018-08-24,4.28998,4.29202,4.26957,4.27565
2018-08-27,4.2768,4.27916,4.26613,4.27235
2018-08-28,4.27233,4.27683,4.26563,4.27086
2018-08-29,4.27096,4.29121,4.26909,4.2881
2018-08-30,4.28813,4.30504,4.28454,4.29874
2018-08-31,4.29868,4.30503,4.28115,4.30319
2018-09-03,4.30094,4.30523,4.28621,4.29192
2018-09-04,4.29196,4.31403,4.2907,4.31008
2018-09-05,4.31035,4.33501,4.30748,4.32877
2018-09-06,4.3289,4.33989,4.31202,4.32431
2018-09-07,4.32434,4.3257,4.30081,4.31399
2018-09-10,4.31407,4.32316,4.30869,4.31234
2018-09-11,4.31229,4.31292,4.30159,4.30409
2018-09-12,4.3042,4.31511,4.30283,4.3075
2018-09-13,4.3066,4.3191,4.29868,4.30554
2018-09-14,4.30561,4.31386,4.29766,4.30479
2018-09-17,4.30623,4.31081,4.29488,4.30026
2018-09-18,4.30027,4.30478,4.28757,4.28852
2018-09-19,4.28848,4.29716,4.28549,4.28574
2018-09-20,4.28595,4.30086,4.28512,4.29044
2018-09-21,4.29041,4.30822,4.28781,4.30703
2018-09-24,4.30972,4.31113,4.29321,4.29594
2018-09-25,4.29594,4.30427,4.2856,4.28929
2018-09-26,4.28919,4.28941,4.26841,4.27395
2018-09-27,4.27377,4.28239,4.26625,4.27035
2018-09-28,4.2702,4.28723,4.26598,4.28036
2018-10-01,4.27861,4.28632,4.27102,4.28495
2018-10-02,4.28485,4.29928,4.28436,4.2967
2018-10-03,4.2967,4.30393,4.28514,4.29682
2018-10-04,4.29664,4.31685,4.29579,4.31033
2018-10-05,4.31011,4.31385,4.29839,4.30707
2018-10-08,4.30614,4.32038,4.30309,4.31406
2018-10-09,4.31423,4.32146,4.30073,4.3027
2018-10-10,4.30242,4.32294,4.3011,4.32173
2018-10-11,4.32161,4.32441,4.30403,4.3126
2018-10-12,4.31307,4.31307,4.29292,4.29787
2018-10-15,4.29813,4.29963,4.28304,4.29239
2018-10-16,4.29239,4.29571,4.28316,4.28539
2018-10-17,4.28535,4.29607,4.28447,4.29096
2018-10-18,4.29101,4.31043,4.28895,4.30538
2018-10-19,4.30534,4.30859,4.29312,4.29493
2018-10-22,4.29875,4.30125,4.28767,4.29209
2018-10-23,4.29197,4.30094,4.29094,4.29595
2018-10-24,4.29597,4.31624,4.28432,4.3132
2018-10-25,4.31316,4.31696,4.3055,4.31083
2018-10-26,4.31092,4.31953,4.30645,4.31022
2018-10-29,4.31132,4.33282,4.30524,4.32818
2018-10-30,4.32824,4.33379,4.32176,4.33093
2018-10-31,4.33093,4.34699,4.32725,4.34251
2018-11-01,4.34269,4.34293,4.3217,4.32437
2018-11-02,4.324,4.32638,4.30386,4.30828
2018-11-05,4.30785,4.31504,4.30376,4.3055
2018-11-06,4.30546,4.31333,4.30231,4.30477
2018-11-07,4.30475,4.30672,4.28578,4.28805
2018-11-08,4.28816,4.29683,4.27599,4.28068
2018-11-09,4.28029,4.29437,4.27781,4.28799
2018-11-12,4.28922,4.30556,4.2854,4.30548
2018-11-13,4.30541,4.30619,4.28834,4.29322
2018-11-14,4.29328,4.2997,4.28787,4.29623
2018-11-15,4.29618,4.29884,4.28501,4.29022
2018-11-16,4.29048,4.31811,4.28458,4.31384
2018-11-19,4.31579,4.33507,4.31141,4.33128
2018-11-20,4.33153,4.33815,4.3031,4.31004
2018-11-21,4.31037,4.31216,4.29675,4.30137
2018-11-22,4.30155,4.30737,4.29257,4.29345
2018-11-23,4.2936,4.30012,4.28882,4.29142
2018-11-26,4.29134,4.29956,4.28758,4.29609
2018-11-27,4.29604,4.30032,4.28784,4.29317
2018-11-28,4.29295,4.3005,4.28228,4.28629
2018-11-29,4.28643,4.29716,4.28476,4.2872
2018-11-30,4.2872,4.29398,4.28437,4.29225
2018-12-03,4.28908,4.28925,4.27504,4.27735
2018-12-04,4.27725,4.28587,4.27488,4.28189
2018-12-05,4.28198,4.29041,4.27986,4.28246
2018-12-06,4.28281,4.29387,4.27758,4.28094
2018-12-07,4.28109,4.29418,4.27938,4.29253
2018-12-10,4.29125,4.29621,4.28563,4.2942
2018-12-11,4.29469,4.30289,4.29279,4.30098
2018-12-12,4.30098,4.30368,4.28844,4.29067
2018-12-13,4.29098,4.30013,4.28754,4.29542
2018-12-14,4.29622,4.30631,4.28967,4.29195
2018-12-17,4.29211,4.29262,4.27919,4.28291
2018-12-18,4.28285,4.28832,4.28105,4.285
2018-12-19,4.28493,4.28977,4.27989,4.28747
2018-12-20,4.28732,4.28998,4.28013,4.28494
2018-12-21,4.28491,4.29513,4.27927,4.28829
2018-12-24,4.29021,4.29273,4.27885,4.28135
2018-12-26,4.2882,4.29377,4.28145,4.28209
2018-12-27,4.28215,4.29888,4.27686,4.29585
2018-12-28,4.29552,4.3074,4.29038,4.30147
2018-12-31,4.30058,4.30784,4.28739,4.28995
2019-01-02,4.2878,4.30478,4.28678,4.29988
2019-01-03,4.29999,4.3129,4.28821,4.29283
2019-01-04,4.2923,4.30235,4.28418,4.28757
2019-01-07,4.29014,4.3001,4.28915,4.29603
2019-01-08,4.29621,4.30678,4.29568,4.29709
2019-01-09,4.29708,4.30254,4.29115,4.30094
2019-01-10,4.30096,4.30689,4.29147,4.29612
2019-01-11,4.29624,4.2993,4.29138,4.29153
